Company,Parameters,Best MAE,Average MAE,Best MSE,Average MSE
AKAM,395285,0.2490348219871521,0.24969711601734162,0.13287179172039032,0.1329893410205841
ATO,395285,0.7446358799934387,0.7455841064453125,1.2900956869125366,1.2925248384475707
BXP,395285,0.9077938795089722,0.9079658508300781,1.6630605459213257,1.6646689414978026
CAG,395285,0.7966292500495911,0.808067011833191,1.4028844833374023,1.4361973524093627
CHRW,395285,0.5910404920578003,0.5912884473800659,0.7038267850875854,0.705560827255249
CINF,395285,0.790844202041626,0.7911716341972351,1.484047293663025,1.4853375434875489
COO,395285,0.3675437867641449,0.36762017011642456,0.2820192873477936,0.28213220834732056
CPB,395285,0.7175402641296387,0.7211102724075318,1.0956193208694458,1.1034621238708495
CPT,395285,0.6531685590744019,0.6536058783531189,0.9518784284591675,0.9528653383255005
DECK,395285,0.4468511939048767,0.4532340168952942,0.41019511222839355,0.4184197664260864
DPZ,395285,0.5656672120094299,0.5661948919296265,0.672399640083313,0.6736126065254211
DVA,395285,0.8490660786628723,0.8553548097610474,1.7334930896759033,1.7410983085632323
ED,395285,0.8784984946250916,0.8802112102508545,1.850815773010254,1.855322813987732
EIX,395285,0.6826421618461609,0.6846415996551514,0.9712093472480774,0.9744762420654297
EMN,395285,0.8201119899749756,0.8210233926773072,1.3319098949432373,1.33347589969635
ESS,395285,0.7761691212654114,0.7767012238502502,1.310582160949707,1.3122065782546997
ETR,395285,0.7927428483963013,0.7963299036026001,1.4722635746002197,1.4777600049972535
EXPD,395285,0.47221803665161133,0.47442156076431274,0.4437310993671417,0.44605475664138794
EXR,395285,0.5976496338844299,0.5981889843940735,0.7245356440544128,0.725226891040802
FDS,395285,0.5405892729759216,0.5418907165527344,0.6633509993553162,0.6651458621025086
FFIV,395285,0.31236740946769714,0.313144314289093,0.19023771584033966,0.19099243581295014
FRT,395285,0.8250752687454224,0.8257260322570801,1.7817082405090332,1.7837563514709474
HBAN,395285,0.5532416701316833,0.5536302924156189,0.6635510921478271,0.6643976449966431
HOLX,395285,0.33741652965545654,0.3377907931804657,0.24872638285160065,0.24949060678482055
HSIC,395285,0.5861145257949829,0.5882576823234558,0.7091891169548035,0.7120867013931275
IEX,395285,0.6371675729751587,0.6402539610862732,0.8078593015670776,0.812469232082367
IRM,395285,0.6916887760162354,0.6968736529350281,0.95135498046875,0.9609902024269104
IVZ,395285,0.6499077677726746,0.6518580436706543,0.7426953911781311,0.7454240441322326
JBHT,395285,0.5447283983230591,0.5450071334838867,0.5739937424659729,0.5757136940956116
JKHY,395285,0.40281060338020325,0.40665414929389954,0.35002607107162476,0.35418554544448855
KIM,395285,0.7917271852493286,0.7921924233436585,1.543166995048523,1.5438703536987304
KMB,395285,0.661609411239624,0.6623213171958924,0.9594277739524841,0.9612063050270081
KMX,395326,0.623779296875,0.6245119094848632,0.8376437425613403,0.8388907074928283
LH,395285,0.505821168422699,0.5060314178466797,0.6192968487739563,0.620345675945282
LNT,395285,0.7403116226196289,0.7423089861869812,0.9895343780517578,0.9939201951026917
MHK,395285,0.9179418087005615,0.9197128653526306,1.809491515159607,1.8147607088088988
NDSN,395285,0.5608826875686646,0.5618385553359986,0.7369376420974731,0.7398250579833985
NTRS,395285,0.715461790561676,0.7158690452575683,1.0930418968200684,1.094420313835144
NVR,395285,0.5331584811210632,0.5352356314659119,0.6699507832527161,0.6710047125816345
PKG,395285,0.5790013670921326,0.591781735420227,0.6325559616088867,0.6526218056678772
PODD,395285,0.5865137577056885,0.63766028881073,0.7171714305877686,0.8257477045059204
REG,395285,0.7565693259239197,0.7573169946670533,1.553891658782959,1.5547077655792236
RHI,395285,0.6094129681587219,0.6132237792015076,0.7725697755813599,0.7784806013107299
STLD,395285,0.6531270742416382,0.6536806106567383,0.8371979594230652,0.8386980533599854
TECH,395285,0.5924450755119324,0.5932731747627258,0.64566969871521,0.6468522191047669
TFX,395285,0.9101647734642029,0.9113811492919922,1.6766149997711182,1.6808656215667725
TRMB,395285,0.4665549695491791,0.46680105328559873,0.4503636658191681,0.4506936311721802
TRV,395285,0.5728849172592163,0.5729783058166504,0.5792697668075562,0.5798793911933899
UHS,395285,0.7872856259346008,0.7883886694908142,1.607330560684204,1.6112958908081054
WRB,395285,0.7229738831520081,0.729769253730774,0.9254637360572815,0.9374830484390259
